Business Name,Full Address,Latitude,Longitude
Univ of Cal Berkeley,"100 Centennial Dr, Berkeley,CA 94720",37.87610047295386, -122.23910048906058
College of San Mateo,"1700 W Hillsdale Blvd, San Mateo,CA 94402",37.535624763998655, -122.33485768537163
Laney College,"900 Fallon St, Oakland,CA 94607",37.79623434521393, -122.26267206607349
Peralta Community College District,"555 Ralph Appezzato Memorial Pkwy, Alameda,CA 94501",37.781051551948316, -122.27934701789891
San Francisco Art Institute,"800 Chestnut St, San Francisco,CA 94133",37.80400776561832, -122.41721610255584
Institute For Health Policy,"3333 California St, San Francisco,CA 94118",37.78620087194726, -122.44802689816129
USF San Francisco Nursing,"2130 Fulton St, San Francisco,CA 94117",37.776792822463605, -122.45025640255665
FIDM/Fashion Institute of Design & Merchandising,"55 Stockton St, San Francisco,CA 94108",37.78649625981654, -122.40663155837821
CCSF Culinary Arts-Hospitality,"50 Frida Kahlo Way, San Francisco,CA 94112",37.72539402790721, -122.45030697372245
Presidio Graduate School,"649 Mission Street, Suite 500, San Francisco,CA 94129",37.78703098301969, -122.4006860349213
Law School Career Services Office Law School Including Legal Job Listings,"536 Mission St, San Francisco,CA 94105",37.789456517008986, -122.39899741604935
San Francisco Community College District,"88 4th St # 2, San Francisco,CA 94103",37.78474824304149, -122.40469251789888
California College of the Arts,"1111 8th St, San Francisco,CA 94107",37.76752914095986, -122.39953964673485
Golden Gate University-San Francisco,"536 Mission St, San Francisco,CA 94105",37.78949043161461, -122.39908324673432
Wharton University of Pennsylvania,"2 Harrison St Fl 6, San Francisco,CA 94105",37.78969686706013, -122.38929971789872
University of CA-San Francisco,"675 Nelson Rising Ln, San Francisco,CA 94143",37.769346713304174, -122.39247366207745
University-Ca Sn Francisco,"654 Minnesota St # 180, San Francisco,CA 94107",37.762111088531775, -122.39116026207763
